Source,Target,Type,id,label,timeset,weight
18,94,Undirected,0,,,1.0
18,43,Undirected,0,,,1.0
18,76,Undirected,0,,,1.0
19,32,Undirected,0,,,1.0
19,41,Undirected,0,,,1.0
19,66,Undirected,0,,,1.0
19,104,Undirected,0,,,1.0
19,60,Undirected,0,,,1.0
19,85,Undirected,0,,,1.0
19,38,Undirected,0,,,1.0
19,53,Undirected,0,,,1.0
19,78,Undirected,0,,,1.0
19,48,Undirected,0,,,1.0
20,96,Undirected,0,,,1.0
20,25,Undirected,0,,,1.0
20,52,Undirected,0,,,1.0
20,55,Undirected,0,,,1.0
20,79,Undirected,0,,,1.0
20,50,Undirected,0,,,1.0
20,49,Undirected,0,,,1.0
20,51,Undirected,0,,,1.0
20,97,Undirected,0,,,1.0
20,117,Undirected,0,,,1.0
21,18,Undirected,0,,,1.0
21,67,Undirected,0,,,1.0
21,46,Undirected,0,,,1.0
21,68,Undirected,0,,,1.0
21,80,Undirected,0,,,1.0
21,62,Undirected,0,,,1.0
21,94,Undirected,0,,,1.0
21,87,Undirected,0,,,1.0
21,56,Undirected,0,,,1.0
21,93,Undirected,0,,,1.0
22,28,Undirected,0,,,1.0
22,104,Undirected,0,,,1.0
22,90,Undirected,0,,,1.0
22,78,Undirected,0,,,1.0
22,89,Undirected,0,,,1.0
22,38,Undirected,0,,,1.0
22,54,Undirected,0,,,1.0
22,64,Undirected,0,,,1.0
22,41,Undirected,0,,,1.0
22,19,Undirected,0,,,1.0
23,11,Undirected,0,,,1.0
23,2,Undirected,0,,,1.0
23,0,Undirected,0,,,1.0
23,3,Undirected,0,,,1.0
23,1,Undirected,0,,,1.0
23,97,Undirected,0,,,1.0
23,9,Undirected,0,,,1.0
23,110,Undirected,0,,,1.0
23,4,Undirected,0,,,1.0
23,14,Undirected,0,,,1.0
24,51,Undirected,0,,,1.0
24,68,Undirected,0,,,1.0
24,56,Undirected,0,,,1.0
24,43,Undirected,0,,,1.0
24,96,Undirected,0,,,1.0
24,55,Undirected,0,,,1.0
24,49,Undirected,0,,,1.0
24,45,Undirected,0,,,1.0
24,42,Undirected,0,,,1.0
24,109,Undirected,0,,,1.0
25,20,Undirected,0,,,1.0
25,51,Undirected,0,,,1.0
25,52,Undirected,0,,,1.0
25,96,Undirected,0,,,1.0
25,109,Undirected,0,,,1.0
25,97,Undirected,0,,,1.0
25,99,Undirected,0,,,1.0
25,45,Undirected,0,,,1.0
25,55,Undirected,0,,,1.0
25,17,Undirected,0,,,1.0
26,64,Undirected,0,,,1.0
26,48,Undirected,0,,,1.0
26,61,Undirected,0,,,1.0
26,104,Undirected,0,,,1.0
26,66,Undirected,0,,,1.0
26,39,Undirected,0,,,1.0
26,60,Undirected,0,,,1.0
26,30,Undirected,0,,,1.0
26,95,Undirected,0,,,1.0
26,38,Undirected,0,,,1.0
27,90,Undirected,0,,,1.0
27,78,Undirected,0,,,1.0
27,22,Undirected,0,,,1.0
27,39,Undirected,0,,,1.0
27,102,Undirected,0,,,1.0
27,57,Undirected,0,,,1.0
27,53,Undirected,0,,,1.0
27,100,Undirected,0,,,1.0
27,77,Undirected,0,,,1.0
27,38,Undirected,0,,,1.0
28,22,Undirected,0,,,1.0
28,36,Undirected,0,,,1.0
28,48,Undirected,0,,,1.0
28,89,Undirected,0,,,1.0
